domain,request_count,total_mb
alakku.edu.tr,8,0.003
agri.edu.tr,10,0.003
aksu.edu.tr,9,0.005
hbv.edu.tr,85,21.574
aksaray.edu.tr,73,4.899
aku.edu.tr,109,9.423
w3.agu.edu.tr,145,39.079
anadolu.edu.tr,125,16.439
ankara.edu.tr,48,12.673
ybu.edu.tr,8,0.003
asbu.edu.tr,196,13.675
atu.edu.tr,185,13.592
adu.edu.tr,81,13.438
mgu.edu.tr,160,19.461
bartin.edu.tr,103,18.271
bogazici.edu.tr,10,0.077
balikesir.edu.tr,186,19.024
artvin.edu.tr,316,10.558
adiyaman.edu.tr,51,25.891
bingol.edu.tr,121,14.484
bandirma.edu.tr,161,18.397
bayburt.edu.tr,254,19.041
bilecik.edu.tr,214,65.465
duzce.edu.tr,10,0.077
btu.edu.tr,134,35.898
beu.edu.tr,116,13.121
uludag.edu.tr,150,22.763
cu.edu.tr,97,14.459
dicle.edu.tr,94,6.764
cumhuriyet.edu.tr,100,3.334
ogu.edu.tr,67,6.099
ebyu.edu.tr,79,13.237
erzurum.edu.tr,131,8.609
gsu.edu.tr,81,9.303
gazi.edu.tr,98,9.297
gantep.edu.tr,121,10.494
firat.edu.tr,148,15.032
hacettepe.edu.tr,68,45.565
gtu.edu.tr,166,17.998
ege.edu.tr,140,10.062
giresun.edu.tr,97,12.462
erciyes.edu.tr,230,34.791
harran.edu.tr,28,3.276
gibtu.edu.tr,145,18.436
hakkari.edu.tr,78,7.508
gumushane.edu.tr,138,31.643
hitit.edu.tr,75,12.918
igdir.edu.tr,69,5.085
comu.edu.tr,287,67.364
istanbul.edu.tr,72,2.040
inonu.edu.tr,119,7.478
idu.edu.tr,96,4.593
iste.edu.tr,112,12.707
bakircay.edu.tr,99,22.118
itu.edu.tr,143,11.251
istanbulc.edu.tr,126,9.830
iyte.edu.tr,130,7.372
ikcu.edu.tr,77,17.543
kafkas.edu.tr,107,10.858
ksu.edu.tr,110,11.740
kastamonu.edu.tr,46,18.514
kocaeli.edu.tr,8,0.003
ktu.edu.tr,100,8.145
kosatek.edu.tr,8,0.003
kilis.edu.tr,69,43.828
istiklal.edu.tr,158,23.047
kirklareli.edu.tr,156,12.642
kku.edu.tr,151,8.034
dpu.edu.tr,117,63.723
ksbu.edu.tr,108,19.875
mcbu.edu.tr,78,30.693
marmara.edu.tr,43,2.482
karabuk.edu.tr,89,37.682
msgsu.edu.tr,80,103.913
ozal.edu.tr,202,127.828
nku.edu.tr,79,3.990
munzur.edu.tr,128,89.356
erbakan.edu.tr,90,15.226
alparslan.edu.tr,99,18.439
mersin.edu.tr,167,19.670
nevsehir.edu.tr,105,62.228
ohu.edu.tr,142,25.779
odu.edu.tr,49,4.739
kmu.edu.tr,119,62.396
artuklu.edu.tr,355,12.552
pau.edu.tr,113,8.278
omu.edu.tr,281,15.070
erdogan.edu.tr,65,2.899
subu.edu.tr,175,8.959
siirt.edu.tr,120,5.954
sakarya.edu.tr,95,22.931
selcuk.edu.tr,87,4.081
osmaniye.edu.tr,163,12.954
samsun.edu.tr,129,7.460
nku.edu.tr,71,2.965
cumhuriyet.edu.tr,94,3.063
gop.edu.tr,6,0.077
sinop.edu.tr,196,12.761
tau.edu.tr,86,13.345
w3.sdu.edu.tr,183,17.668
trabzon.edu.tr,66,12.231
sirnak.edu.tr,117,25.011
beun.edu.tr,96,41.804
msu.edu.tr,59,7.537
yyu.edu.tr,137,15.012
usak.edu.tr,192,21.781
pa.edu.tr,89,2.407
yildiz.edu.tr,233,10.965
alanyauniversity.edu.tr,10,0.003
bozok.edu.tr,126,22.517
jsga.edu.tr,94,10.446
ankara.medipol.edu.tr,13,1.135
ankarabilim.edu.tr,92,4.463
altinbas.edu.tr,145,8.423
avrasya.edu.tr,119,14.005
atilim.edu.tr,107,6.327
bahcesehir.edu.tr,91,4.238
atlas.edu.tr,151,11.935
biruni.edu.tr,10,0.077
baskent.edu.tr,79,14.959
beykoz.edu.tr,111,12.917
beykent.edu.tr,231,9.539
demiroglu.bilim.edu.tr,8,0.003
etu.edu.tr,143,20.511
cag.edu.tr,119,5.405
antalya.edu.tr,112,27.224
cankaya.edu.tr,95,10.490
hku.edu.tr,69,1.053
bezmialem.edu.tr,169,9.502
ihu.edu.tr,0,0.000
dogus.edu.tr,130,13.958
acibadem.edu.tr,185,35.042
halic.edu.tr,115,49.365
galata.edu.tr,129,20.410
29mayis.edu.tr,64,11.024
istanbulbilim.edu.tr,10,0.003
aydin.edu.tr,25,0.385
isikun.edu.tr,160,26.059
bilgi.edu.tr,95,5.030
esenyurt.edu.tr,66,52.540
atlas.edu.tr,145,4.358
kent.edu.tr,94,12.166
rumeli.edu.tr,26,0.413
iku.edu.tr,91,12.626
gelisim.edu.tr,131,14.416
galata.edu.tr,128,20.195
medipol.edu.tr,178,8.199
izu.edu.tr,170,17.309
istun.edu.tr,98,8.190
topkapi.edu.tr,73,6.052
yeniyuzyil.edu.tr,104,10.998
ticaret.edu.tr,165,8.141
okan.edu.tr,291,23.667
kapadokya.edu.tr,88,8.672
istinye.edu.tr,100,21.744
khas.edu.tr,161,13.064
lokmanhekim.edu.tr,87,33.170
mef.edu.tr,54,0.845
maltepe.edu.tr,147,11.123
ku.edu.tr,182,7.055
nisantasi.edu.tr,133,7.263
ostim.edu.tr,11,0.275
ted.edu.tr,8,0.003
pirireis.edu.tr,84,10.143
sabanciuniv.edu,74,6.670
arel.edu.tr,0,0.000
fbu.edu.tr,0,0.000
nny.edu.tr,144,17.008
yasar.edu.tr,19,0.026
okan.edu.tr,291,21.586
yeditepe.edu.tr,87,2.858
sanko.edu.tr,108,18.166
ufuk.edu.tr,102,22.767
toros.edu.tr,114,38.346
uskudar.edu.tr,161,5.658
thk.edu.tr,221,259.973
yiu.edu.tr,113,46.875
